Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000158107,,Budapest,"1897, 98",,Magyarország 1848/49. évi függetlenségi harczának katonai története. Irta: B. J. [i.e. Breit J.],"B., J.","BREIT, József.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158107,British Library HMNTS 09315.e.56.
000158296,,Québec,1887,,Voyage au Canada ... fait depuis l'an 1751 à 1761 par J. C. B. [i.e. J. C. Bonnefons? With an introduction by H. R. Casgrain.],"B., J. C.","BONNEFONS, J. C.|CASGRAIN, Henri Raymond.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158296,British Library HMNTS 10470.f.18.
000158370,,Aberdeen?,1894.],,"“Bobs.” [A poem on Robert Anderson signed: J. M. B., i.e. J. M. Bulloch. With a portrait and illustrations.]","Becker, Johann Michael.","BULLOCH, John Malcolm.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158370,British Library HMNTS 11643.dd.14.
000158403,,London,1879,"Longmans, Green & Co.",Brian Boru. A tragedy. By J. T. B. [i.e. Joshua T. Bottle. In verse.],"B., J. T.","BOTTLE, Joshua T.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158403,British Library HMNTS 11781.ee.26.
000158408,,London,1852,Edward West,"Miscellaneous Poems, by J. T. B. [i.e. James Trower Bullock.]","B., J. T.","BULLOCK, James Trower.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158408,British Library HMNTS 11645.g.24.
000158459,,Kolozsvártt,1872,,Helység-névtár. A királyhágon inneni rész-Erdély-községeinek betürendes névtára ... összeállitotta B. L,"B., L.","SZABÓ, Lajos - Balkányi",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158459,British Library HMNTS 10210.eee.8.
000158480,,Birmingham,[1877]],J. J. Davis,"Recollections of New Street, Birmingham in the Year 1817. [The introductory note signed: L. B., i.e. Lucy Benton.]","B., L.","BENTON, Lucy.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158480,British Library HMNTS 010352.aaa.23.
000158712,,Paris,1843,,"Réponse aux articles de M. Buchon, intitulés: Détails inconnus sur l'affaire du duc d'Enghien, extraits d'une conversation du roi Joseph-Napoléon, lesquels ont été insérés dans les feuilletons du journal la Presse des 9 et 10 septembre, et 1er octobre 1843. [Signed: M. A. C. L. L. B.]","B., M. A. C. L. L.","BUCHON, Jean Alexandre C.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158712,British Library HMNTS 1131.g.30.
000158754,,Baltimore,1871,"Kelly, Piet & Co.","Bubbles and Ballast. Being a description of life in Paris during the brilliant days of the Empire; a tour through Belgium and Holland, and a sojourn in London. By a Lady. [The preface signed: M. E. P. B., i.e. M. E. Parker Bouligny.]","B., M. E. P.","BOULIGNY, M. E. Parker.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158754,British Library HMNTS 10106.ee.9.
000158952,,London,1874,Robert Hardwicke,"Swythamley and its Neighbourhood, Past and Present. Desultory fragments collected from various authors. ב פלב [By P. L. B., i.e. Philip Lancaster Brocklehurst.]","B., P. L.","BROCKLEHURST, Philip Lancaster.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000158952,British Library HMNTS 010358.f.45.
000159267,,Lee,1881,Ye author,"Tradesmen versus Salesmen!! A rhyme concerning foot-gear, etc. [Signed: S. A. B., i.e. S. A. Bunning.]","B., S. A.","BUNNING, S. A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159267,British Library HMNTS 11652.k.10.
000159421,,London,"1886, [1885]","Griffith, Farran & Co.","The Briny Deep; or, the Log of “The Flying Cloud.” A story ... By Captain Tom. [Signed: T. A. B., i.e. Captain Thomas A. Boulton.] Illustrated by Captain W. W. May","B., T. A.","BOULTON, Thomas A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159421,British Library HMNTS 10026.f.7.
000159457,,London,1837,Manning & Smithson,"The White Lady. A legend of Artagh. [Signed: T. W. B., i.e. T. W. Beaumont.] Ms. notes","B., T. W.","BEAUMONT, Thomas Wentworth.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159457,British Library HMNTS 11644.h.9.
000159509,[Another edition.] A facsimile reproduction of the edition of 1807. With an introduction by Charles Welsh.,London,1883,Griffith & Farran,"[The Elephant's Ball and Grand Fete Champetre. [In verse.] Intended as companion to those much admired pieces, The Butterfly's Ball, and The Peacock “at home.” Illustrated with elegant engravings [by William Mulready]. By W. B.]","B., W.","Mulready, William",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159509,British Library HMNTS 11645.ff.30.(4.)
000159541,,Bristol,1892,"Allen, Davies & Co.","Notes of a Voyage in the Orient Steamship Company's S.S. “Garonne,” in the early part of the year 1891. With illustrations. [The introduction signed: W. B., i.e. William Butler. Including “Our Pilgrimage,” by Ada B. Brain.]","B., W.","BUTLER, William - Tar Distiller",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159541,British Library HMNTS 010077.e.98.
000159595,,London,1876,Sampson Low & Co.,"This Son of Vulcan. A novel. By the authors of “Ready-money Mortiboy,” etc. [The preface signed: W. B. and J. R., i.e. Walter Besant and James Rice.]","Besant, Walter - Sir","Rice, James",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159595,British Library HMNTS 12636.l.4.
000159623,,Kirkwall,1847,J. N. Anderson,"List of Books and Manuscripts relating to Orkney and Zetland; or in which these islands are mentioned. [The preface signed: W. B. B., i.e. William Balfour Baikie.]","B., W. B.","BAIKIE, William Balfour.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159623,British Library HMNTS 797.h.31.
000159628,,London,1891,A. White & Co.,"The Emigrants' Guide to South Africa ... Seventh edition, etc. [The preface signed: W. C. B., i.e. W. C. Burnet. With illustrations.]","B., W. C.","BURNET, W. C.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159628,British Library HMNTS 10097.ccc.16.
000159640,,Plymouth,1878,Brendon & Son,"Sunways: a record of rambles in many lands. [The preface signed: W. C. B., i.e. William Copeland Borlase.]","B., W. C.","BORLASE, William Copeland.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159640,British Library HMNTS 10024.e.21.
000160715,,London,1856,W. S. Johnson,"The Babes in the Wood; or, Harlequin and the Cruel Uncle. A ... pantomime, founded on the ancient ballad ... The opening story written by the author of ... “The Three Bears,” “Little Bo-peep” [J. B. Buckstone?] ... The harlequinade ... by Mr. W. Dorrington. First performed at the Theatre Royal, Haymarket, on Friday, December 26th, 1856",,"BUCKSTONE, John Baldwin.|DORRINGTON, W.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000160715,British Library HMNTS 11781.e.38.(10.)
000161013,,London,1895,Longmans & Co.,Fallacies of Race Theories as applied to national characteristics. Essays. [Edited with a preface by Hercules H. G. MacDonnell.],"BABINGTON, William Dalton.","Macdonnell, Hercules H. G. (Hercules Henry Graves)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000161013,British Library HMNTS 9004.g.24.
000161413,,London,1874,Richard Bentley & Son,As Innocent as a Baby. A novel. [By William Clark Russell.],,"RUSSELL, William Clark.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000161413,British Library HMNTS 12633.m.1.
000162141,,Stuttgart,1896,,Bilder aus Alt-Stuttgart ... Mit Text versehen,"BACH, Max - and LOTTER (Carl)","LOTTER, Carl - Gemeinderat",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000162141,British Library HMNTS 10260.h.2.
000162530,,Penzance,[1869.],B. Downing,"The Whimsical Bachelor, or Married at last. A comedy in two acts. Written by a Novice who has never beheld the interior of the Green Room [i.e. Henry Victor]",,"VICTOR, Henry.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000162530,British Library HMNTS 11781.g.6.(4.)
000163880,"[Another edition.] Bacon's Dictionary of Boston, etc.",Boston,1886,"Houghton, Mifflin & Co.",[King's Dictionary of Boston ... With an historical introduction by G. E. Ellis.],"BACON, Edwin Munroe.","ELLIS, George Edward - of Charleston, U.S",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000163880,British Library HMNTS 10409.bb.24.
000163920,,London,1825-36,William Pickering,"The Works of Francis Bacon ... A new edition: by Basil Montagu, Esq. [With a portrait from a miniature by Nicholas Hilliard.] L.P: Works","Bacon, Francis","MONTAGU, Basil.|WOOD, William - Translator",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000163920,British Library HMNTS 12270.s.1.
000163984,,Leipzig,1884,,Kleinere Schriften des Lord Bacon. Uebersetzt und erläutert von J. Fürstenhagen: Two or more Works,"Bacon, Francis","FUERSTENHAGEN, J.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000163984,British Library HMNTS 12271.k.6.
000164442,,Dublin,1847,James McGlashan,"Selections from the Works of Lord Bacon, comprising the prefaces to the Instauratio Magna and Novum Organum, the Distributio operis, and the fifth and seventh books De Augmentis Scientiarum. Translated, and illustrated with notes from the Novum Organum, and the writings of Locke, Reid ... etc. Together with an appendix of questions, by Thomas W. Moffett: Selections","Bacon, Francis","MOFFETT, Thomas W.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000164442,British Library HMNTS 722.i.16.
000164730,,Ipswich,1884,S. H. Cowell,"The Annalls of Ipswche. The lawes, customs and Governmt of the same. Collected out of ye records, bookes and writings of that towne. By N. Bacon ... 1654. Edited by William H. Richardson ... With a memoir by Sterling Westhorp. [With a portrait.]","BACON, Nathaniel - Master of Requests to the Protector","RICHARDSON, William Henry - M.A., St. Mary Hall, Oxford|WESTHORP, Sterling.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000164730,British Library HMNTS 10352.l.13.
000164916,,London,1843,Thomas Arnold,"The Orientalist; containing a series of tales, legends, and historical romances ... With engravings by W. and E. Finden, from sketches by the author, and Captain Meadows Taylor","BACON, Thomas - F.S.A","FINDEN, Edward Francis.|FINDEN, William.|TAYLOR, Philip Meadows - Colonel",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000164916,British Library HMNTS 10056.ff.13.|British Library OC T 41576
000165752,,Karlsruhe,1844,,"Universal-Lexikon vom Grossherzogthum Baden. Bearbeitet und herausgegeben von einer Gesellschaft von Gelehrten und Vaterlandsfreunden [or rather, by Eugen Huhn]. Mit 14 Stahlstichen, 8 Planen und 6 Tabellen: Appendix",,"HUHN, Eugen.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000165752,British Library HMNTS 10230.e.5.
000165908,,London,1817,J. Bumpus,"The History of Norway, from the earliest times, by G. L. Baden, and from the Union of Calmar, by Baron Holbey. Translated from the Danish, and continued to the present time, by A. Andersen Feldborg","BADEN, Gustav Ludvig.","FELDBORG, Andreas Andersen.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000165908,British Library HMNTS 9435.d.13.
000166111,,Bern,1898,,Die Märztage des Jahres 1798. Kriegsgeschichtliche Darstellung der Ereignisse im Kampfe Berns mit den französischen Armeen. Mit zwei geographischen Übersichtskarten ... Illustreirt von Hans Beat Wieland ... Herausgegeben von Dr. Hans Balmer,"BADERTSCHER, Gustav Adolf.","Balmer, Hans.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000166111,British Library HMNTS 9304.g.16.
000166617,,Aarau,1867,,Thomas von Falkenstein und der Ueberfall von Brugg. Aus den Quellen erhoben,"BAEBLER, Johann Jacob - the Younger","FALKENSTEIN, Thomas von.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000166617,British Library HMNTS 9305.bb.14.
000167719,,Leipzig,1874,,"Der vorgeschichtliche Mensch. Ursprung und Entwickelung des Menschengeschlechtes ... Begonnen von W. Baer. Nach dessen Tode unter Mitwirkung von ... Dr. H. Schaaffhausen vollendet und herausgegeben von Friedrich von Hellwald ... Mit ... Illustrationen, etc","BAER, Wilhelm.","HELLWALD, Friedrich Anton Heller von - Baron|SCHAAFFHAUSEN, Hermann.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000167719,British Library HMNTS 10006.df.19.
000168032,,Bruxelles,1889,,L'Ommeganck de Bruxelles en 1615 d'après les tableaux de Denis van Alsloot. (Extrait de la revue Précis historiques 1889.),"BAESTEN, Vincent.","ALSLOOT, Denis van.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000168032,British Library HMNTS 010271.ee.13.
000168576,,"Hartford, Conn",1889,Travelers Insurance Co.,The Works of Walter Bagehot ... With memoirs by R. H. Hutton ... Edited by Forrest Morgan. [With a portrait.],"BAGEHOT, Walter.","HUTTON, Richard Holt.|MORGAN, Forrest.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000168576,British Library HMNTS 12271.f.7.
000168700,,"Springfield, Mass",1874,C. W. Bryan & Co.,"Account of the Centennial Celebration of the Town of West Springfield, Mass. ... with the historical address of Thomas E. Vermilye ... the poem of Mrs. Ellen P. Champion, etc. [With plates, including portraits.]","BAGG, J. N.","VERMILYE, Thomas Edward.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000168700,British Library HMNTS 10412.ee.16.
000168960,,Wilno,1854,,"Rękopism X. Bagińskiego, Dominikana Prowincyi Litewskiéj. 1747-1784 r. Wydany przez Eustachego Tyszkiewicza. (Rękopism noszący tytuł: Księga dzięjów, w któréj ... tak domowe jak publiczne godne pamięci ciekawości umieszczają się.)","BAGIŃSKI, Wojciech Wincenty Kanty.","TYSZKIEWICZ, Eustachy - Count",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000168960,British Library HMNTS 9475.cc.30.
000169633,,Vannes,1896,,"Bonchamps et le passage de la Loire par l'Armée Vendéenne en 1793, etc","BAGUENIER DESORMEAUX, Henri.","BONCHAMPS, Charles Melchior Artus de - Marquis",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000169633,British Library HMNTS 9225.h.33.
000170138,,London,1882,W. H. Allen & Co.,Gujarát and the Gujarátis: pictures of men and manners taken from life. [With a preface by E. B. Eastwick.],,"Eastwick, Edward Backhouse",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000170138,British Library HMNTS 10058.df.1.|British Library OC T 35799
000170506,,Basingstoke,1889,C. J. Jacob,"A History of the Ancient Town and Manor of Basingstoke ... with a brief account of the siege of Basing House, A.D. 1643-1645","BAIGENT, Francis Joseph - and MILLARD (James Elwin)","MILLARD, James Elwin.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000170506,British Library HMNTS 010358.g.38.
000170590,,Calcutta,1834,Baptist Mission Press,"Observations on the Neilgherries, including an account of their topography, climate, soil & productions, and of the effects of the climate on the European constitution: ... Edited by W. H. Smoult. [With plates and maps.]","BAIKIE, Robert - of Tankerness, the Younger M.D","SMOULT, William Hunter.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000170590,British Library HMNTS 10057.e.18.|British Library OC V 7000
000170591,,Calcutta,1857,J. Thomas,The Neilgherries ... Second edition,"BAIKIE, Robert - of Tankerness, the Younger M.D","SMOULT, William Hunter.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000170591,British Library HMNTS 010057.i.36.|British Library OC V 6608
000171846,,Boston,1880,"Houghton, Mifflin & Co.","Historical Sketches of Andover ... Massachusetts. [With an introduction on Prehistoric Andover, signed: G. F. W., i.e. George F. Wright. With plates.]","BAILEY, Sarah Loring.","WRIGHT, George Frederick.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000171846,British Library HMNTS 10412.ff.19.
000172465,,London,1825,Printed for private circulation,"Trifles in Verse. [The editor's preface signed: A. B., i.e. Alexander Baillie.]","BAILLIE, Marianne.","B., A.|BAILLIE, Alexander.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000172465,British Library HMNTS 11642.c.17.
000172765,,London,1801,"J. Wallis, etc.","Letters upon the Atalantis of Plato, and the ancient history of Asia: intended as a continuation of the Letters upon the origin of the sciences addressed to M. de Voltaire. [Translated by James Jacque.]","BAILLY, Jean Sylvain.","JACQUE, James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000172765,British Library HMNTS 1312.b.15.
000173198,,Nairn,1893,“Telegraph”,History of Nairnshire,"BAIN, George - F.S.A. Scot|BAIN, Joseph - Historical Writer","TODD, George Eyre.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173198,British Library HMNTS 010370.g.32.|British Library HMNTS 010370.g.42.
000173477,,Liverpool,"1824, 1825",W. Wales & Co.,"History, Directory, and Gazetteer, of the County Palatine of Lancaster; with a variety of commercial & statistical information ... Illustrated by maps and plans ... The directory department by W. Parson","BAINES, Edward - M.P. for Leeds","PARSON, William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173477,British Library HMNTS 010351.h.7.|British Library HMNTS Maps1.c.10.|British Library HMNTS 10349.c.6.
000173479,,London,1836,"Fisher, Son & Co.","History of the County Palatine and Duchy of Lancaster ... The biographical department by W. R. Whatton, Esq. (History of the cotton manufacture [by Edward Baines Jun.]) [With plates.]","BAINES, Edward - M.P. for Leeds","WHATTON, William Robert.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173479,British Library HMNTS 10368.l.15.
000173480,"A new, revised, and improved edition, edited by ... John Harland, etc. (Continued and completed by Brooke Herford.).",London,1868-70,G. Routledge & Sons,"[History of the County Palatine and Duchy of Lancaster ... The biographical department by W. R. Whatton, Esq. (History of the cotton manufacture [by Edward Baines Jun.]) [With plates.]]","BAINES, Edward - M.P. for Leeds","HARLAND, John - Antiquary|HERFORD, Brooke.|WHATTON, William Robert.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173480,British Library HMNTS 10368.l.20.
000173481,"A new, revised and enlarged edition. With the family pedigrees corrected throughout. Edited by James Croston.",Manchester,"1888, [1886]-93",John Heywood,"[History of the County Palatine and Duchy of Lancaster ... The biographical department by W. R. Whatton, Esq. (History of the cotton manufacture [by Edward Baines Jun.]) [With plates.]]","BAINES, Edward - M.P. for Leeds","CROSTON, James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173481,British Library HMNTS 10362.c.1.|British Library HMNTS 10353.e.10.
000173485,[Another edition.],New York,1852,"Bangs, Brother & Co.","[History of the Wars of the French Revolution ... Embellished with portraits of the most distinguished characters of the age and illustrated by maps, etc.]","BAINES, Edward - M.P. for Leeds","GRIMSHAW, William - of Baltimore",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173485,British Library HMNTS 9075.c.1.
000173648,,London,1864,Longman & Co.,"Explorations in South-West Africa. Being an account of a journey in ... 1861 and 1862 from Walvisch Bay, on the western coast, to Lake Ngami and the Victoria Falls. [With a preface by M. A. Baines, and maps and plates.]","BAINES, Thomas - F.R.G.S","BAINES, M. A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173648,British Library HMNTS 010095.ee.38.
000175277,,London,1888,Kegan Paul & Co.,Betram de Drumont. [A tale. Edited by Thomas Baker.],"BAKER, Ella.","BAKER, Thomas - Barrister-at-Law",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175277,British Library HMNTS 012632.l.42.
000175279,,London,1888,Kegan Paul & Co.,Kingscote Stories. [Edited by Thomas Baker.],"BAKER, Ella.","BAKER, Thomas - Barrister-at-Law",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175279,British Library HMNTS 012632.l.41.
000175676,,London,1899,Chapman & Hall,Stories of the Streets of London ... With ... illustrations by C. G. Harper,"BAKER, Henry Barton.","HARPER, Charles George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175676,British Library HMNTS 10350.de.39.
000175833,,London,1879,"Simpkin, Marshall & Co.",Quiet War Scenes. Poems and translations. With eight illustrations ... by H. Whatley,"BAKER, James - of Clifton, Bristol","WHATLEY, H.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175833,British Library HMNTS 11652.cc.6.
000176475,,London,1865,"Smith, Elder & Co.","Noel or, It was to be","BAKER, Robert - Novelist, and YORKE (Skelton)","YORKE, Skelton.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176475,British Library HMNTS 12631.l.2.
000176546,,Paris,1868,,Découverte de l'Albert N'yanza ... Ouvrage traduit ... par G. Masson. Illustré ... et accompagné de 2 cartes,"BAKER, Samuel White - Sir","MASSON, Gustave - Master at Harrow School",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176546,British Library HMNTS 10096.gg.17.
000176547,,Jena,1867,,"Der Albert Nyanza, das grosse Becken des Nil und die Erforschung der Nilquellen ... Aus dem Englischen von J. E. A. Martin ... Nebst 33 Illustrationen ... 1 Chromolithographie und 2 Karten","BAKER, Samuel White - Sir","MARTIN, J. E. A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176547,British Library HMNTS 10095.ee.29.
000176559,,London,1874,Macmillan & Co.,"Ismailïa. A narrative of the expedition to Central Africa for the suppression of the slave trade; organized by Ismail, Khedive of Egypt ... With maps, portraits, and ... illustrations, etc","BAKER, Samuel White - Sir","DURAND, Godefroy.|ZWECKER, John Baptist.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176559,British Library HMNTS 10095.df.8.
000176753,,"Phila., Pa",1897,P. C. Stockhausen,"Lenau and Young Germany in America ... Dissertation, etc","BAKER, Thomas Stockham.","LENAU, Nicolaus - pseud. [i.e. Nicolaus Franz Niembsch von Strehlenau.]",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176753,British Library HMNTS 9603.f.13.
000177320,,Groningen,"1884, 85",,"Op reis door Nederland. Geïllustreerd aardrijkskundig leesboek, etc","BAKKER, J. D. - Hoofdonderwijzer te Groningen, and DEELSTRA (F.)","DEELSTRA, F.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000177320,British Library HMNTS 10271.ee.7.
000178382,,Bayonne,1862-75,,"Études historiques sur la ville de Bayonne. Par J. Balasque, avec la collaboration d'E. Dulaurens","BALASQUE, Jules.","DULAURENS, Ernest.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000178382,British Library HMNTS 010169.g.5.
000178478,,Pest,1855,,"Album des Balaton. Erinnerung an Füred und seine Umgebung. Enthaltend zehn Ansichten der schönsten Gegenden am Balaton ... mit dem Uebersichtsplane des Balaton und dem erklärenden texte. Nach dem ungarischen Originale bearbeitet und mit den neuesten verlässlichsten Daten vermehrt. [A translation of “Balaton Albuma,” by Miklós Szerelmey.]",,"Szerelmey, Miklós.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000178478,British Library HMNTS 10215.e.40.
000178629,,Madrid,1851,,"Novísima Geografia Universal, de España y Portugal ... Traducida de la ultima edicion [of the “Abrégé de géographie”] de Paris, y aumentada considerablemente por D. Sebastian Fabregas ... Nueva edicion, refundidos los dos tomos en uno","BALBI, Adriano.","FABREGAS, Sebastian.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000178629,British Library HMNTS 10160.d.10.
000178656,,Trieste,1854-59,,"Gea, ossia la terra descritta secondo le norme di Adriano Balbi e le ultime e migliori notizie. Opera originale italiana di E. Balbi","BALBI, Eugenio.","BALBI, Adriano.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000178656,British Library HMNTS 10004.h.16.
000179003,,Philadelphia,1895,Porter & Coates,"The French in America during the War of Independence of the United States, 1777-1783. A translation by Edwin Swift Balch and Elise Willing Balch of Les Français en Amérique pendant la guerre de l'Indépendance des États-Unis par T. Balch. vol. II","BALCH, Thomas - of Philadelphia","BALCH, Edwin Swift.|BALCH, Elise Willing.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000179003,British Library HMNTS 9605.ff.15.
000179539,,London,[1888],"Simpkin, Marshall & Co.",Ingleton: bygone and present. [With a map and illustrations.],"BALDERSTON, Robert R. - and BALDERSTON (Margaret)","BALDERSTON, Margaret.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000179539,British Library HMNTS 10358.ccc.33
000180831,,xxu,1854,Lippincott & Co.,"Lippincott, Grambo & Co's Gazetteer ... of the United States ... With the results of the census of 1850, and population and statistics, in many cases, to 1853","BALDWIN, Thomas - Teacher, of Philadelphia, and THOMAS (Joseph) M.D., of Philadelphia","THOMAS, Joseph - M.D., of Philadelphia",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000180831,British Library HMNTS 10409.e.5.
000180894,,London,"1863, [1862]",Richard Bentley,"African Hunting from Natal to the Zambesi including Lake Ngami, the Kalahari Desert, &c. from 1852 to 1860 ... With illustrations [including a portrait] by James Wolf and J. B. Zwecker","BALDWIN, William Charles.","WOLF, James - Artist|ZWECKER, John Baptist.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000180894,British Library HMNTS 010095.g.6.
000181560,,London,1825,"Hurst, Robinson & Co.",The Historical Works of Sir James Balfour ... Published from the original mss. preserved in the library of the Faculty of Advocates. [Edited by James Haig. With a prefatory memoir taken from the Memoria Balfouriana of Sir Robert Sibbald.],"BALFOUR, James - Sir, Bart., of Kinnaird","HAIG, James - of the Advocates Library, Edinburgh|Sibbald, Robert - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000181560,British Library HMNTS 600.f.4-7.
000181975,,London,1853,Chapman & Hall,The Diary of Martha Bethune Baliol from 1753 to 1754. [By Harriet Skene.],"BALIOL, Martha Bethune.","SKENE, Harriet.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000181975,British Library HMNTS 12627.b.10.
000182354,,London,[1860.],Published & sold in the Theatre,"Lurline: a grand romantic original opera, in three acts, composed by W. Vincent Wallace, the words by E. Fitzball: first produced at the Royal English Opera, Covent Garden ... February 23rd 1860","BALL, afterwards FITZBALL, Edward.","WALLACE, William Vincent - Musical Composer",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000182354,British Library HMNTS 11781.d.23.(3.)
000182518,,Barton-upon-Humber,1856,M. Ball,The Social History and Antiquities of Barton-upon-Humber. [Edited by G. Poulson. With plates.],"BALL, Henry William.","POULSON, George.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000182518,British Library HMNTS 10358.e.4.
000183574,,Edinburgh],1882,Privately printed,"Ballads of the Bench and Bar; or, Idle Lays of the Parliament House. [Edited by J. B. Paul and J. J. Reid.]",,"PAUL, James Balfour - Sir, K.C.V.O., Lyon King of Arms|REID, John James.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000183574,British Library HMNTS 11651.l.3.
000183576,,London,[1879.],"Ward, Lock & Co.",Brave Old Ballads. Illustrated with coloured engravings from drawings by John Gilbert,,"Gilbert, John - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000183576,British Library HMNTS 11601.ee.8.
